,Medicine Name ,Medicine MF,Medicine MW,IUPAC Name,Compound CID ,Create Date
388,CBMicro_002894; Cambridge id 6215741; Oprea1_704627; ZINC786554; SMSF0017298; ...,C24H29NO2,C24H29NO2,Isomeric SMILES: CC1=CC=CC=C1C2C3=C(CC(CC3=O)(C)C)NC4=C2C(=O)CC(C4)(C)C,1076781,  2005-07-10
389,N-(3-bromophenyl)-N-(phenylsulfonyl)glycine; 491843-18-6; 2-[N-(benzenesulfonyl)-3-bromoanilino]acetic acid; 2-[N-(3-bromophenyl)benzenesulfonamido]acetic acid; CBMicro_012002; ...,C14H12BrNO4S,C14H12BrNO4S,Isomeric SMILES: C1=CC=C(C=C1)S(=O)(=O)N(CC(=O)O)C2=CC(=CC=C2)Br,1076785,  2005-07-10
390,CBMicro_004797; Oprea1_835787; MLS000714357; CHEMBL2142769; HMS2677N08; ...,C15H14Cl2N2O3S,C15H14Cl2N2O3S,Isomeric SMILES: CS(=O)(=O)N(CC(=O)NC1=CC=CC=C1Cl)C2=CC=C(C=C2)Cl,1076744,  2005-07-10
391,CBMicro_011991; ZINC786504; SMSF0017496; AKOS000609881; CB15192; ...,C15H14BrClN2O3S,C15H14BrClN2O3S,Isomeric SMILES: CS(=O)(=O)N(CC(=O)NC1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Br,1076754,  2005-07-10
392,"4-(3,4-Dihydro-1H-isoquinolin-2-ylmethyl)-N-(3,4-dimethoxy-phenyl)-benzamide; CBMicro_003048; ChemDiv2_004476; Oprea1_246948; Oprea1_292213; ...",C25H26N2O3,C25H26N2O3,Isomeric SMILES: COC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCC4=CC=CC=C4C3)OC,1076757,  2005-07-10
393,"N-(2,5-dimethylphenyl)-2-[(4-fluorophenyl)(phenylsulfonyl)amino]acetamide; CBMicro_011847; Oprea1_461838; Oprea1_659378; ZINC786513; ...",C22H21FN2O3S,C22H21FN2O3S,Isomeric SMILES: CC1=CC(=C(C=C1)C)NC(=O)CN(C2=CC=C(C=C2)F)S(=O)(=O)C3=CC=CC=C3,1076759,  2005-07-10
394,CBMicro_012655; Oprea1_091161; Oprea1_658235; ZINC786519; SMSF0016300; ...,C19H24N2O4S,C19H24N2O4S,Isomeric SMILES: CCC1=CC=CC=C1N(CC(=O)NC2=CC=C(C=C2)OCC)S(=O)(=O)C,1076763,  2005-07-10
395,6220-68-4; CDS1_003491; CBMicro_010915; Oprea1_004738; Oprea1_828141; ...,C16H17BrN2O4S,C16H17BrN2O4S,Isomeric SMILES: COC1=CC=C(C=C1)N(CC(=O)NC2=CC=CC=C2Br)S(=O)(=O)C,1076766,  2005-07-10
396,CBMicro_012794; Oprea1_225325; Oprea1_343836; ZINC786548; SMSF0017962; ...,C22H21FN2O3S,C22H21FN2O3S,Isomeric SMILES: CC1=C(C=C(C=C1)NC(=O)CN(C2=CC=C(C=C2)F)S(=O)(=O)C3=CC=CC=C3)C,1076777,  2005-07-10
397,6193-83-5; CBMicro_012046; CBKinase1_000964; CBKinase1_013364; DTXSID80360098; ...,C15H14BrClN2O3S,C15H14BrClN2O3S,Isomeric SMILES: CS(=O)(=O)N(CC(=O)NC1=CC(=CC=C1)Cl)C2=CC=C(C=C2)Br,1076779,  2005-07-10
398,CBMicro_002894; Cambridge id 6215741; Oprea1_704627; ZINC786554; SMSF0017298; ...,C24H29NO2,C24H29NO2,Isomeric SMILES: CC1=CC=CC=C1C2C3=C(CC(CC3=O)(C)C)NC4=C2C(=O)CC(C4)(C)C,1076781,  2005-07-10
399,N-(3-bromophenyl)-N-(phenylsulfonyl)glycine; 491843-18-6; 2-[N-(benzenesulfonyl)-3-bromoanilino]acetic acid; 2-[N-(3-bromophenyl)benzenesulfonamido]acetic acid; CBMicro_012002; ...,C14H12BrNO4S,C14H12BrNO4S,Isomeric SMILES: C1=CC=C(C=C1)S(=O)(=O)N(CC(=O)O)C2=CC(=CC=C2)Br,1076785,  2005-07-10
400,CBMicro_004797; Oprea1_835787; MLS000714357; CHEMBL2142769; HMS2677N08; ...,C15H14Cl2N2O3S,C15H14Cl2N2O3S,Isomeric SMILES: CS(=O)(=O)N(CC(=O)NC1=CC=CC=C1Cl)C2=CC=C(C=C2)Cl,1076744,  2005-07-10
401,CBMicro_011991; ZINC786504; SMSF0017496; AKOS000609881; CB15192; ...,C15H14BrClN2O3S,C15H14BrClN2O3S,Isomeric SMILES: CS(=O)(=O)N(CC(=O)NC1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Br,1076754,  2005-07-10
402,"4-(3,4-Dihydro-1H-isoquinolin-2-ylmethyl)-N-(3,4-dimethoxy-phenyl)-benzamide; CBMicro_003048; ChemDiv2_004476; Oprea1_246948; Oprea1_292213; ...",C25H26N2O3,C25H26N2O3,Isomeric SMILES: COC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCC4=CC=CC=C4C3)OC,1076757,  2005-07-10
403,"N-(2,5-dimethylphenyl)-2-[(4-fluorophenyl)(phenylsulfonyl)amino]acetamide; CBMicro_011847; Oprea1_461838; Oprea1_659378; ZINC786513; ...",C22H21FN2O3S,C22H21FN2O3S,Isomeric SMILES: CC1=CC(=C(C=C1)C)NC(=O)CN(C2=CC=C(C=C2)F)S(=O)(=O)C3=CC=CC=C3,1076759,  2005-07-10
404,CBMicro_012655; Oprea1_091161; Oprea1_658235; ZINC786519; SMSF0016300; ...,C19H24N2O4S,C19H24N2O4S,Isomeric SMILES: CCC1=CC=CC=C1N(CC(=O)NC2=CC=C(C=C2)OCC)S(=O)(=O)C,1076763,  2005-07-10
405,6220-68-4; CDS1_003491; CBMicro_010915; Oprea1_004738; Oprea1_828141; ...,C16H17BrN2O4S,C16H17BrN2O4S,Isomeric SMILES: COC1=CC=C(C=C1)N(CC(=O)NC2=CC=CC=C2Br)S(=O)(=O)C,1076766,  2005-07-10
406,CBMicro_012794; Oprea1_225325; Oprea1_343836; ZINC786548; SMSF0017962; ...,C22H21FN2O3S,C22H21FN2O3S,Isomeric SMILES: CC1=C(C=C(C=C1)NC(=O)CN(C2=CC=C(C=C2)F)S(=O)(=O)C3=CC=CC=C3)C,1076777,  2005-07-10
407,6193-83-5; CBMicro_012046; CBKinase1_000964; CBKinase1_013364; DTXSID80360098; ...,C15H14BrClN2O3S,C15H14BrClN2O3S,Isomeric SMILES: CS(=O)(=O)N(CC(=O)NC1=CC(=CC=C1)Cl)C2=CC=C(C=C2)Br,1076779,  2005-07-10
408,CBMicro_002894; Cambridge id 6215741; Oprea1_704627; ZINC786554; SMSF0017298; ...,C24H29NO2,C24H29NO2,Isomeric SMILES: CC1=CC=CC=C1C2C3=C(CC(CC3=O)(C)C)NC4=C2C(=O)CC(C4)(C)C,1076781,  2005-07-10
409,N-(3-bromophenyl)-N-(phenylsulfonyl)glycine; 491843-18-6; 2-[N-(benzenesulfonyl)-3-bromoanilino]acetic acid; 2-[N-(3-bromophenyl)benzenesulfonamido]acetic acid; CBMicro_012002; ...,C14H12BrNO4S,C14H12BrNO4S,Isomeric SMILES: C1=CC=C(C=C1)S(=O)(=O)N(CC(=O)O)C2=CC(=CC=C2)Br,1076785,  2005-07-10
410,CBMicro_003254; Oprea1_271431; Oprea1_682839; SMSF0018834; STL302631; ...,C19H20ClN3O3,C19H20ClN3O3,Isomeric SMILES: C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)NC4=CC(=CC=C4)Cl,1079402,  2005-07-10
411,CBMicro_008829; MLS000707270; CHEMBL1531702; SCHEMBL19806685; HMS2709I08; ...,C11H10FN3O,C11H10FN3O,Isomeric SMILES: CC(=O)NC1=NNC(=C1)C2=CC=C(C=C2)F,1081357,  2005-07-10
412,312759-07-2; N-(2-Methoxy-phenyl)-3-(morpholine-4-sulfonyl)-benzamide; N-(2-methoxyphenyl)-3-(morpholinosulfonyl)benzamide; SMR000054483; CBMicro_012390; ...,C18H20N2O5S,C18H20N2O5S,Isomeric SMILES: COC1=CC=CC=C1NC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCOCC3,1081943,  2005-07-10
413,CBMicro_002374; MLS001206246; CHEMBL2131098; ZINC797653; SMSF0018025; ...,C14H17F3N2O3S,C14H17F3N2O3S,Isomeric SMILES: CS(=O)(=O)N(CC(=O)N1CCCC1)C2=CC=CC(=C2)C(F)(F)F,1082249,  2005-07-10
414,CBMicro_012306; Oprea1_221556; Oprea1_813412; ZINC797656; SMSF0016387; ...,C22H21FN2O3S,C22H21FN2O3S,Isomeric SMILES: CCC1=CC=CC=C1NC(=O)CN(C2=CC=C(C=C2)F)S(=O)(=O)C3=CC=CC=C3,1082250,  2005-07-10
415,CBMicro_002132; Oprea1_036410; Oprea1_135745; ZINC797687; CCG-4228; ...,C23H25Cl2NO2,C23H25Cl2NO2,Isomeric SMILES: CC1(CC2=C(C(C3=C(N2)CC(CC3=O)(C)C)C4=C(C=CC=C4Cl)Cl)C(=O)C1)C,1082265,  2005-07-10
416,STK344062; 6188-66-5; CBMicro_009640; Oprea1_262002; Oprea1_391072; ...,C23H24N2O4S,C23H24N2O4S,Isomeric SMILES: CC1=CC(=C(C=C1)NC(=O)CN(C2=CC=CC=C2OC)S(=O)(=O)C3=CC=CC=C3)C,1082274,  2005-07-10
417,N-(3-bromophenyl)-2-[4-methoxy(methylsulfonyl)anilino]acetamide; CBMicro_001936; CBKinase1_000721; CBKinase1_013121; Oprea1_659946; ...,C16H17BrN2O4S,C16H17BrN2O4S,Isomeric SMILES: COC1=CC=C(C=C1)N(CC(=O)NC2=CC(=CC=C2)Br)S(=O)(=O)C,1082278,  2005-07-10
418,6192-92-3; CDS1_003562; CBMicro_010986; Oprea1_294241; Oprea1_379962; ...,C16H17BrN2O4S,C16H17BrN2O4S,Isomeric SMILES: COC1=CC=C(C=C1)N(CC(=O)NC2=CC=C(C=C2)Br)S(=O)(=O)C,1082280,  2005-07-10
419,CBMicro_004509; ZINC797732; SMSF0017453; STL123706; AKOS000387135; ...,C21H18BrFN2O3S,C21H18BrFN2O3S,Isomeric SMILES: CC1=CC=C(C=C1)N(CC(=O)NC2=CC=CC=C2Br)S(=O)(=O)C3=CC=C(C=C3)F,1082288,  2005-07-10
420,CBMicro_003254; Oprea1_271431; Oprea1_682839; SMSF0018834; STL302631; ...,C19H20ClN3O3,C19H20ClN3O3,Isomeric SMILES: C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)NC4=CC(=CC=C4)Cl,1079402,  2005-07-10
421,CBMicro_008829; MLS000707270; CHEMBL1531702; SCHEMBL19806685; HMS2709I08; ...,C11H10FN3O,C11H10FN3O,Isomeric SMILES: CC(=O)NC1=NNC(=C1)C2=CC=C(C=C2)F,1081357,  2005-07-10
422,312759-07-2; N-(2-Methoxy-phenyl)-3-(morpholine-4-sulfonyl)-benzamide; N-(2-methoxyphenyl)-3-(morpholinosulfonyl)benzamide; SMR000054483; CBMicro_012390; ...,C18H20N2O5S,C18H20N2O5S,Isomeric SMILES: COC1=CC=CC=C1NC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCOCC3,1081943,  2005-07-10
423,CBMicro_002374; MLS001206246; CHEMBL2131098; ZINC797653; SMSF0018025; ...,C14H17F3N2O3S,C14H17F3N2O3S,Isomeric SMILES: CS(=O)(=O)N(CC(=O)N1CCCC1)C2=CC=CC(=C2)C(F)(F)F,1082249,  2005-07-10
424,CBMicro_012306; Oprea1_221556; Oprea1_813412; ZINC797656; SMSF0016387; ...,C22H21FN2O3S,C22H21FN2O3S,Isomeric SMILES: CCC1=CC=CC=C1NC(=O)CN(C2=CC=C(C=C2)F)S(=O)(=O)C3=CC=CC=C3,1082250,  2005-07-10
425,CBMicro_002132; Oprea1_036410; Oprea1_135745; ZINC797687; CCG-4228; ...,C23H25Cl2NO2,C23H25Cl2NO2,Isomeric SMILES: CC1(CC2=C(C(C3=C(N2)CC(CC3=O)(C)C)C4=C(C=CC=C4Cl)Cl)C(=O)C1)C,1082265,  2005-07-10
426,STK344062; 6188-66-5; CBMicro_009640; Oprea1_262002; Oprea1_391072; ...,C23H24N2O4S,C23H24N2O4S,Isomeric SMILES: CC1=CC(=C(C=C1)NC(=O)CN(C2=CC=CC=C2OC)S(=O)(=O)C3=CC=CC=C3)C,1082274,  2005-07-10
427,N-(3-bromophenyl)-2-[4-methoxy(methylsulfonyl)anilino]acetamide; CBMicro_001936; CBKinase1_000721; CBKinase1_013121; Oprea1_659946; ...,C16H17BrN2O4S,C16H17BrN2O4S,Isomeric SMILES: COC1=CC=C(C=C1)N(CC(=O)NC2=CC(=CC=C2)Br)S(=O)(=O)C,1082278,  2005-07-10
428,6192-92-3; CDS1_003562; CBMicro_010986; Oprea1_294241; Oprea1_379962; ...,C16H17BrN2O4S,C16H17BrN2O4S,Isomeric SMILES: COC1=CC=C(C=C1)N(CC(=O)NC2=CC=C(C=C2)Br)S(=O)(=O)C,1082280,  2005-07-10
429,CBMicro_004509; ZINC797732; SMSF0017453; STL123706; AKOS000387135; ...,C21H18BrFN2O3S,C21H18BrFN2O3S,Isomeric SMILES: CC1=CC=C(C=C1)N(CC(=O)NC2=CC=CC=C2Br)S(=O)(=O)C3=CC=C(C=C3)F,1082288,  2005-07-10
430,CHEMBL2010974; CBMicro_004713; Oprea1_167000; Oprea1_595194; SMSF0017304; ...,C16H16BrNO4S,C16H16BrNO4S,Isomeric SMILES: C1=CC=C(C=C1)CCN(CC(=O)O)S(=O)(=O)C2=CC=C(C=C2)Br,1092328,  2005-07-10
431,"CBMicro_013287; C14H6Cl3NO7; Oprea1_325210; Oprea1_807954; 2-nitro-5-(2,4,5-trichlorophenoxy)terephthalic acid; ...",C14H6Cl3NO7,C14H6Cl3NO7,Isomeric SMILES: C1=C(C(=CC(=C1[N+](=O)[O-])C(=O)O)OC2=CC(=C(C=C2Cl)Cl)Cl)C(=O)O,1092373,  2005-07-10
432,CBMicro_008643; Oprea1_144743; Oprea1_583730; ZINC813362; SMSF0010021; ...,C19H16N4O3S2,C19H16N4O3S2,Isomeric SMILES: CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC3=NC(=CS3)C4=CC=CC=C4,1092428,  2005-07-10
433,N-[3-[2-[(4-methyl-2-pyridinyl)amino]-4-thiazolyl]phenyl]acetamide; SMR000178616; Oprea1_766280; MLS000550799; CHEMBL1587941; ...,C17H16N4OS,C17H16N4OS,Isomeric SMILES: CC1=CC(=NC=C1)NC2=NC(=CS2)C3=CC(=CC=C3)NC(=O)C,1092458,  2005-07-10
434,CBMicro_011379; Oprea1_364616; Oprea1_442636; ZINC816842; SMSF0017982; ...,C19H24N2O6S,C19H24N2O6S,Isomeric SMILES: CCOC1=CC=C(C=C1)NC(=O)CN(C2=C(C=CC(=C2)OC)OC)S(=O)(=O)C,1095110,  2005-07-10
435,CBMicro_012904; Oprea1_160056; Oprea1_753539; MLS000716186; CHEMBL1550323; ...,C14H20N2O4S,C14H20N2O4S,Isomeric SMILES: CC1=CC=C(C=C1)N(CC(=O)N2CCOCC2)S(=O)(=O)C,1095117,  2005-07-10
436,CBMicro_011917; Oprea1_061302; Oprea1_568298; ZINC816940; CCG-4286; ...,C20H24N2O7S,C20H24N2O7S,Isomeric SMILES: CCOC(=O)C1=CC=CC=C1NC(=O)CN(C2=C(C=C(C=C2)OC)OC)S(=O)(=O)C,1095150,  2005-07-10
437,CBMicro_010804; CBKinase1_001209; CBKinase1_013609; Oprea1_196396; Oprea1_333694; ...,C17H18Cl2N2O5S,C17H18Cl2N2O5S,Isomeric SMILES: COC1=C(C=C(C=C1)NC(=O)CN(C2=CC(=CC(=C2)Cl)Cl)S(=O)(=O)C)OC,1095155,  2005-07-10
438,4-[(4-chlorobenzyl)(methylsulfonyl)amino]-N-(2-ethoxyphenyl)benzamide; CBMicro_004536; Oprea1_297282; Oprea1_805458; ZINC816991; ...,C23H23ClN2O4S,C23H23ClN2O4S,Isomeric SMILES: CCOC1=CC=CC=C1NC(=O)C2=CC=C(C=C2)N(CC3=CC=C(C=C3)Cl)S(=O)(=O)C,1095170,  2005-07-10
439,"4-(3,4-Dihydro-1H-isoquinolin-2-ylmethyl)-N-(2,4-dimethoxy-phenyl)-benzamide; CBMicro_002223; Oprea1_458816; Oprea1_824358; MLS001209069; ...",C25H26N2O3,C25H26N2O3,Isomeric SMILES: COC1=CC(=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCC4=CC=CC=C4C3)OC,1095178,  2005-07-10
440,CHEMBL2010974; CBMicro_004713; Oprea1_167000; Oprea1_595194; SMSF0017304; ...,C16H16BrNO4S,C16H16BrNO4S,Isomeric SMILES: C1=CC=C(C=C1)CCN(CC(=O)O)S(=O)(=O)C2=CC=C(C=C2)Br,1092328,  2005-07-10
441,"CBMicro_013287; C14H6Cl3NO7; Oprea1_325210; Oprea1_807954; 2-nitro-5-(2,4,5-trichlorophenoxy)terephthalic acid; ...",C14H6Cl3NO7,C14H6Cl3NO7,Isomeric SMILES: C1=C(C(=CC(=C1[N+](=O)[O-])C(=O)O)OC2=CC(=C(C=C2Cl)Cl)Cl)C(=O)O,1092373,  2005-07-10
442,CBMicro_008643; Oprea1_144743; Oprea1_583730; ZINC813362; SMSF0010021; ...,C19H16N4O3S2,C19H16N4O3S2,Isomeric SMILES: CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC3=NC(=CS3)C4=CC=CC=C4,1092428,  2005-07-10
443,N-[3-[2-[(4-methyl-2-pyridinyl)amino]-4-thiazolyl]phenyl]acetamide; SMR000178616; Oprea1_766280; MLS000550799; CHEMBL1587941; ...,C17H16N4OS,C17H16N4OS,Isomeric SMILES: CC1=CC(=NC=C1)NC2=NC(=CS2)C3=CC(=CC=C3)NC(=O)C,1092458,  2005-07-10
444,CBMicro_011379; Oprea1_364616; Oprea1_442636; ZINC816842; SMSF0017982; ...,C19H24N2O6S,C19H24N2O6S,Isomeric SMILES: CCOC1=CC=C(C=C1)NC(=O)CN(C2=C(C=CC(=C2)OC)OC)S(=O)(=O)C,1095110,  2005-07-10
445,CBMicro_012904; Oprea1_160056; Oprea1_753539; MLS000716186; CHEMBL1550323; ...,C14H20N2O4S,C14H20N2O4S,Isomeric SMILES: CC1=CC=C(C=C1)N(CC(=O)N2CCOCC2)S(=O)(=O)C,1095117,  2005-07-10
446,CBMicro_011917; Oprea1_061302; Oprea1_568298; ZINC816940; CCG-4286; ...,C20H24N2O7S,C20H24N2O7S,Isomeric SMILES: CCOC(=O)C1=CC=CC=C1NC(=O)CN(C2=C(C=C(C=C2)OC)OC)S(=O)(=O)C,1095150,  2005-07-10
447,CBMicro_010804; CBKinase1_001209; CBKinase1_013609; Oprea1_196396; Oprea1_333694; ...,C17H18Cl2N2O5S,C17H18Cl2N2O5S,Isomeric SMILES: COC1=C(C=C(C=C1)NC(=O)CN(C2=CC(=CC(=C2)Cl)Cl)S(=O)(=O)C)OC,1095155,  2005-07-10
448,4-[(4-chlorobenzyl)(methylsulfonyl)amino]-N-(2-ethoxyphenyl)benzamide; CBMicro_004536; Oprea1_297282; Oprea1_805458; ZINC816991; ...,C23H23ClN2O4S,C23H23ClN2O4S,Isomeric SMILES: CCOC1=CC=CC=C1NC(=O)C2=CC=C(C=C2)N(CC3=CC=C(C=C3)Cl)S(=O)(=O)C,1095170,  2005-07-10
449,"4-(3,4-Dihydro-1H-isoquinolin-2-ylmethyl)-N-(2,4-dimethoxy-phenyl)-benzamide; CBMicro_002223; Oprea1_458816; Oprea1_824358; MLS001209069; ...",C25H26N2O3,C25H26N2O3,Isomeric SMILES: COC1=CC(=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCC4=CC=CC=C4C3)OC,1095178,  2005-07-10
450,CHEMBL2010974; CBMicro_004713; Oprea1_167000; Oprea1_595194; SMSF0017304; ...,C16H16BrNO4S,C16H16BrNO4S,Isomeric SMILES: C1=CC=C(C=C1)CCN(CC(=O)O)S(=O)(=O)C2=CC=C(C=C2)Br,1092328,  2005-07-10
451,"CBMicro_013287; C14H6Cl3NO7; Oprea1_325210; Oprea1_807954; 2-nitro-5-(2,4,5-trichlorophenoxy)terephthalic acid; ...",C14H6Cl3NO7,C14H6Cl3NO7,Isomeric SMILES: C1=C(C(=CC(=C1[N+](=O)[O-])C(=O)O)OC2=CC(=C(C=C2Cl)Cl)Cl)C(=O)O,1092373,  2005-07-10
452,CBMicro_008643; Oprea1_144743; Oprea1_583730; ZINC813362; SMSF0010021; ...,C19H16N4O3S2,C19H16N4O3S2,Isomeric SMILES: CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC3=NC(=CS3)C4=CC=CC=C4,1092428,  2005-07-10
453,N-[3-[2-[(4-methyl-2-pyridinyl)amino]-4-thiazolyl]phenyl]acetamide; SMR000178616; Oprea1_766280; MLS000550799; CHEMBL1587941; ...,C17H16N4OS,C17H16N4OS,Isomeric SMILES: CC1=CC(=NC=C1)NC2=NC(=CS2)C3=CC(=CC=C3)NC(=O)C,1092458,  2005-07-10
454,CBMicro_011379; Oprea1_364616; Oprea1_442636; ZINC816842; SMSF0017982; ...,C19H24N2O6S,C19H24N2O6S,Isomeric SMILES: CCOC1=CC=C(C=C1)NC(=O)CN(C2=C(C=CC(=C2)OC)OC)S(=O)(=O)C,1095110,  2005-07-10
455,CBMicro_012904; Oprea1_160056; Oprea1_753539; MLS000716186; CHEMBL1550323; ...,C14H20N2O4S,C14H20N2O4S,Isomeric SMILES: CC1=CC=C(C=C1)N(CC(=O)N2CCOCC2)S(=O)(=O)C,1095117,  2005-07-10
456,CBMicro_011917; Oprea1_061302; Oprea1_568298; ZINC816940; CCG-4286; ...,C20H24N2O7S,C20H24N2O7S,Isomeric SMILES: CCOC(=O)C1=CC=CC=C1NC(=O)CN(C2=C(C=C(C=C2)OC)OC)S(=O)(=O)C,1095150,  2005-07-10
457,CBMicro_010804; CBKinase1_001209; CBKinase1_013609; Oprea1_196396; Oprea1_333694; ...,C17H18Cl2N2O5S,C17H18Cl2N2O5S,Isomeric SMILES: COC1=C(C=C(C=C1)NC(=O)CN(C2=CC(=CC(=C2)Cl)Cl)S(=O)(=O)C)OC,1095155,  2005-07-10
458,4-[(4-chlorobenzyl)(methylsulfonyl)amino]-N-(2-ethoxyphenyl)benzamide; CBMicro_004536; Oprea1_297282; Oprea1_805458; ZINC816991; ...,C23H23ClN2O4S,C23H23ClN2O4S,Isomeric SMILES: CCOC1=CC=CC=C1NC(=O)C2=CC=C(C=C2)N(CC3=CC=C(C=C3)Cl)S(=O)(=O)C,1095170,  2005-07-10
459,"4-(3,4-Dihydro-1H-isoquinolin-2-ylmethyl)-N-(2,4-dimethoxy-phenyl)-benzamide; CBMicro_002223; Oprea1_458816; Oprea1_824358; MLS001209069; ...",C25H26N2O3,C25H26N2O3,Isomeric SMILES: COC1=CC(=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCC4=CC=CC=C4C3)OC,1095178,  2005-07-10
460,CBMicro_009076; ZINC821003; SMSF0008193; STK376849; AKOS000560680; ...,C15H12F3N3O2S,C15H12F3N3O2S,Isomeric SMILES: CC(C)OC(=O)C1=NN2C(=CC(=NC2=C1)C3=CC=CS3)C(F)(F)F,1097839,  2005-07-10
461,CBMicro_012141; CBKinase1_001258; CBKinase1_013658; Oprea1_287276; Oprea1_672871; ...,C21H19BrN2O4S,C21H19BrN2O4S,Isomeric SMILES: CS(=O)(=O)N(CC(=O)NC1=CC=CC=C1Br)C2=CC=C(C=C2)OC3=CC=CC=C3,1097920,  2005-07-10
462,CBMicro_012540; Oprea1_325355; Oprea1_492178; SMSF0017337; ZINC19794561; ...,C20H22N2O4,C20H22N2O4,Isomeric SMILES: COC(=O)C1=CC=CC=C1NC(=O)C2=CC=C(C=C2)CN3CCOCC3,1097921,  2005-07-10
463,CBMicro_004618; Oprea1_040033; Oprea1_799066; ZINC821127; SMSF0016594; ...,C17H19ClN2O5S,C17H19ClN2O5S,Isomeric SMILES: COC1=CC(=C(C=C1)NC(=O)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C)OC,1097922,  2005-07-10
464,CBMicro_010129; Oprea1_242375; Oprea1_552995; ZINC821143; SMSF0017480; ...,C23H24N2O4S,C23H24N2O4S,Isomeric SMILES: CC1=CC(=C(C=C1)C)NC(=O)CN(C2=CC=CC=C2OC)S(=O)(=O)C3=CC=CC=C3,1097930,  2005-07-10
465,CBMicro_002457; Oprea1_112401; Oprea1_128003; ZINC821147; SMSF0017931; ...,C18H22N2O4S,C18H22N2O4S,Isomeric SMILES: CC1=CC(=CC(=C1)NC(=O)CN(C2=CC=C(C=C2)OC)S(=O)(=O)C)C,1097932,  2005-07-10
466,CBMicro_012780; Oprea1_325795; Oprea1_328586; ZINC821151; SMSF0017363; ...,C17H19ClN2O4S,C17H19ClN2O4S,Isomeric SMILES: CC1=CC=C(C=C1)NC(=O)CN(C2=CC(=C(C=C2)OC)Cl)S(=O)(=O)C,1097934,  2005-07-10
467,2-{[(4-ethoxyphenyl)sulfonyl]-4-methylanilino}-N-methylacetamide; CDS1_003573; CBMicro_010997; Oprea1_037336; Oprea1_183150; ...,C18H22N2O4S,C18H22N2O4S,Isomeric SMILES: CCOC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)NC)C2=CC=C(C=C2)C,1097955,  2005-07-10
468,CBMicro_010846; Oprea1_014515; Oprea1_252191; ZINC821192; SMSF0016288; ...,C21H26N2O5S,C21H26N2O5S,Isomeric SMILES: CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)N2CCCC2)C3=C(C=C(C=C3)OC)OC,1097956,  2005-07-10
469,CBMicro_010449; Oprea1_477603; Oprea1_619399; ZINC821218; SMSF0016502; ...,C16H17ClN2O3S,C16H17ClN2O3S,Isomeric SMILES: CC1=CC(=CC=C1)NC(=O)CN(C2=CC(=CC=C2)Cl)S(=O)(=O)C,1097970,  2005-07-10
470,CBMicro_009076; ZINC821003; SMSF0008193; STK376849; AKOS000560680; ...,C15H12F3N3O2S,C15H12F3N3O2S,Isomeric SMILES: CC(C)OC(=O)C1=NN2C(=CC(=NC2=C1)C3=CC=CS3)C(F)(F)F,1097839,  2005-07-10
471,CBMicro_012141; CBKinase1_001258; CBKinase1_013658; Oprea1_287276; Oprea1_672871; ...,C21H19BrN2O4S,C21H19BrN2O4S,Isomeric SMILES: CS(=O)(=O)N(CC(=O)NC1=CC=CC=C1Br)C2=CC=C(C=C2)OC3=CC=CC=C3,1097920,  2005-07-10
472,CBMicro_012540; Oprea1_325355; Oprea1_492178; SMSF0017337; ZINC19794561; ...,C20H22N2O4,C20H22N2O4,Isomeric SMILES: COC(=O)C1=CC=CC=C1NC(=O)C2=CC=C(C=C2)CN3CCOCC3,1097921,  2005-07-10
473,CBMicro_004618; Oprea1_040033; Oprea1_799066; ZINC821127; SMSF0016594; ...,C17H19ClN2O5S,C17H19ClN2O5S,Isomeric SMILES: COC1=CC(=C(C=C1)NC(=O)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C)OC,1097922,  2005-07-10
474,CBMicro_010129; Oprea1_242375; Oprea1_552995; ZINC821143; SMSF0017480; ...,C23H24N2O4S,C23H24N2O4S,Isomeric SMILES: CC1=CC(=C(C=C1)C)NC(=O)CN(C2=CC=CC=C2OC)S(=O)(=O)C3=CC=CC=C3,1097930,  2005-07-10
475,CBMicro_002457; Oprea1_112401; Oprea1_128003; ZINC821147; SMSF0017931; ...,C18H22N2O4S,C18H22N2O4S,Isomeric SMILES: CC1=CC(=CC(=C1)NC(=O)CN(C2=CC=C(C=C2)OC)S(=O)(=O)C)C,1097932,  2005-07-10
